name,building,capacity
Lecture Hall 141,Chemistry Complex,142
Lecture Hall 53,Business Center,253
Lecture Hall 217,Data Science Institute,88
Lecture Hall 112,Engineering Center,139
1-13,Innovation Hub,40
Seminar 212,Data Science Institute,17
Lab 1F,Law School,22
Lecture Hall 111,Humanities Hall,275
Lecture Hall 48,Art & Design Studios,177
Lab 45W,Chemistry Complex,13
Studio D-13,Education Hall,17
Lab 80,Data Science Institute,14
2-19,Science Hall,20
Lecture Hall 195,Business Center,151
3-11,Education Hall,29
Lab 35,Music & Performing Arts,17
Lab 21R,Data Science Institute,20
Lab 42,Data Science Institute,13
Seminar 237,Art & Design Studios,11
6-21,Mathematics Tower,24
Seminar 552,Athletics Complex,24
Lecture Hall 136,Education Hall,115
Studio U-9,Business Center,33
4-24,Health Sciences Center,25
Studio S-3,Physics Pavilion,16
Lecture Hall 82,Chemistry Complex,282
1-25,Health Sciences Center,30
Seminar 370,Medical Research Building,14
Lecture Hall 59,Data Science Institute,254
Lab 44D,Data Science Institute,25
Seminar 101,Biology Annex,21
Studio F-17,Humanities Hall,18
5-13,Library West,22
Lecture Hall 277,Music & Performing Arts,279
Lecture Hall 166,Innovation Hub,205
Lecture Hall 186,Engineering Center,292
Lab 8,Library West,14
Lecture Hall 273,Athletics Complex,276
Lecture Hall 244,Physics Pavilion,220
Lab 68W,Biology Annex,18
Lab 40P,Data Science Institute,26
Seminar 161,Innovation Hub,13
Lecture Hall 174,Business Center,85
Studio H-19,Law School,22
Lecture Hall 31,Engineering Center,138
Lecture Hall 170,Computer Science Building,98
Lab 36Z,Innovation Hub,18
Lecture Hall 293,Data Science Institute,227
Lab 61,Athletics Complex,15
4-23,Chemistry Complex,31
Seminar 542,Health Sciences Center,21
6-07,Science Hall,19
Lab 14,Psychology Building,18
Seminar 171,Data Science Institute,16
Lab 60,Biology Annex,26
Lecture Hall 26,Data Science Institute,246
Lecture Hall 48,Data Science Institute,272
Lecture Hall 209,Business Center,204
Lab 52,Athletics Complex,24
Seminar 235,Engineering Center,24
Lab 55U,Education Hall,16
Lab 28,Mathematics Tower,22
Lecture Hall 300,Science Hall,202
Studio F-2,Innovation Hub,31
Lecture Hall 36,Computer Science Building,232
2-26,Computer Science Building,21
Lab 75,Law School,14
5-34,Health Sciences Center,28
Lab 41H,Humanities Hall,24
6-20,Physics Pavilion,32
Lecture Hall 5,Art & Design Studios,197
1-05,Medical Research Building,35
Studio J-5,Mathematics Tower,26
Lab 48,Computer Science Building,26
Lab 79,Data Science Institute,29
1-09,Library West,26
Lecture Hall 284,Chemistry Complex,119
Lab 78G,Humanities Hall,18
Studio S-9,Humanities Hall,16
4-18,Computer Science Building,19
Lab 17X,Engineering Center,17
Studio Q-18,Education Hall,15
Lecture Hall 77,Chemistry Complex,219
Lab 75,Science Hall,25
Lecture Hall 158,Physics Pavilion,173
Lab 27,Science Hall,15
Studio Q-20,Music & Performing Arts,19
Lecture Hall 91,Business Center,185
Lecture Hall 171,Engineering Center,280
6-16,Health Sciences Center,26
Lecture Hall 196,Biology Annex,89
Lab 26R,Athletics Complex,21
Lab 4,Business Center,24
Lab 9J,Art & Design Studios,28
5-22,Psychology Building,18
Lab 23V,Chemistry Complex,13
Lab 56,Chemistry Complex,24
Lab 33B,Law School,12
Studio Z-7,Innovation Hub,26
Lecture Hall 170,Health Sciences Center,239
1-20,Art & Design Studios,34
4-21,Library West,30
Studio E-7,Library West,28
6-12,Psychology Building,37
Lab 52,Law School,21
Lab 56V,Library West,26
Seminar 445,Education Hall,13
Seminar 506,Innovation Hub,24
1-19,Biology Annex,34
Lab 12H,Medical Research Building,19
Lecture Hall 13,Mathematics Tower,91
Seminar 412,Business Center,23
Seminar 312,Computer Science Building,24
Lab 50S,Law School,19
6-01,Physics Pavilion,42
Seminar 212,Chemistry Complex,12
Seminar 125,Innovation Hub,18
Lecture Hall 234,Business Center,114
5-21,Education Hall,42
6-33,Education Hall,31
Seminar 559,Data Science Institute,12
Seminar 232,Athletics Complex,22
3-34,Business Center,33
Lab 57C,Business Center,19
Lab 41,Humanities Hall,16
Lab 50,Physics Pavilion,14
Seminar 269,Health Sciences Center,18
Seminar 131,Education Hall,13
Seminar 563,Health Sciences Center,22
Lecture Hall 295,Law School,177
Lecture Hall 181,Athletics Complex,156
Seminar 375,Psychology Building,21
2-32,Data Science Institute,25
Seminar 348,Humanities Hall,10
